"","from_gene","Homo_sapiens","Mus_musculus","to_symbol"
"LOC127401475","LOC127401475","127401475",NA,NA
"LOC127401476","LOC127401476","127401476",NA,NA
"LOC127401477","LOC127401477","127401477",NA,NA
"LOC127401479","LOC127401479","127401479",NA,NA
"LOC127401480","LOC127401480","127401480",NA,NA
"LOC127401481","LOC127401481","127401481",NA,NA
"LOC127401482","LOC127401482","127401482",NA,NA
"LOC127401483","LOC127401483","127401483",NA,NA
"LOC127401484","LOC127401484","127401484",NA,NA
"LOC127401485","LOC127401485","127401485",NA,NA
"LOC127401486","LOC127401486","127401486",NA,NA
"LOC127401487","LOC127401487","127401487",NA,NA
"LOC127401488","LOC127401488","127401488",NA,NA
"LOC127401489","LOC127401489","127401489",NA,NA
"LOC127401490","LOC127401490","127401490",NA,NA
"LOC127401491","LOC127401491","127401491",NA,NA
"LOC127401492","LOC127401492","127401492",NA,NA
"LOC127401493","LOC127401493","127401493",NA,NA
"LOC127401494","LOC127401494","127401494",NA,NA
"LOC127401495","LOC127401495","127401495",NA,NA
"LOC127401496","LOC127401496","127401496",NA,NA
"LOC127401497","LOC127401497","127401497",NA,NA
"LOC127401498","LOC127401498","127401498",NA,NA
"LOC127401499","LOC127401499","127401499",NA,NA
"LOC127401500","LOC127401500","127401500",NA,NA
"LOC127401501","LOC127401501","127401501",NA,NA
"LOC127401502","LOC127401502","127401502",NA,NA
"LOC127401504","LOC127401504","127401504",NA,NA
"LOC127401505","LOC127401505","127401505",NA,NA
"LOC127401506","LOC127401506","127401506",NA,NA
"LOC127401507","LOC127401507","127401507",NA,NA
"LOC127401508","LOC127401508","127401508",NA,NA
"LOC127401509","LOC127401509","127401509",NA,NA
"LOC127401510","LOC127401510","127401510",NA,NA
"LOC127401511","LOC127401511","127401511",NA,NA
"LOC127401512","LOC127401512","127401512",NA,NA
"LOC127401513","LOC127401513","127401513",NA,NA
"LOC127401514","LOC127401514","127401514",NA,NA
"LOC127401515","LOC127401515","127401515",NA,NA
"LOC127401516","LOC127401516","127401516",NA,NA
"LOC127401517","LOC127401517","127401517",NA,NA
"LOC127401518","LOC127401518","127401518",NA,NA
"LOC127401519","LOC127401519","127401519",NA,NA
"LOC127401520","LOC127401520","127401520",NA,NA
"LOC127401521","LOC127401521","127401521",NA,NA
"LOC127401522","LOC127401522","127401522",NA,NA
"LOC127401523","LOC127401523","127401523",NA,NA
"LOC127401524","LOC127401524","127401524",NA,NA
"LOC127401525","LOC127401525","127401525",NA,NA
"LOC127401526","LOC127401526","127401526",NA,NA
"LOC127401527","LOC127401527","127401527",NA,NA
"LOC127401528","LOC127401528","127401528",NA,NA
"LOC127401529","LOC127401529","127401529",NA,NA
"LOC127401530","LOC127401530","127401530",NA,NA
"LOC127401531","LOC127401531","127401531",NA,NA
"LOC127401532","LOC127401532","127401532",NA,NA
"LOC127401533","LOC127401533","127401533",NA,NA
"LOC127401534","LOC127401534","127401534",NA,NA
"LOC127401535","LOC127401535","127401535",NA,NA
"LOC127401536","LOC127401536","127401536",NA,NA
"LOC127401537","LOC127401537","127401537",NA,NA
"LOC127401538","LOC127401538","127401538",NA,NA
"LOC127401539","LOC127401539","127401539",NA,NA
"LOC127401540","LOC127401540","127401540",NA,NA
"LOC127401541","LOC127401541","127401541",NA,NA
"LOC127401542","LOC127401542","127401542",NA,NA
"LOC127401543","LOC127401543","127401543",NA,NA
"LOC127401544","LOC127401544","127401544",NA,NA
"LOC127401545","LOC127401545","127401545",NA,NA
"LOC127401546","LOC127401546","127401546",NA,NA
"LOC127401547","LOC127401547","127401547",NA,NA
"LOC127401548","LOC127401548","127401548",NA,NA
"LOC127401549","LOC127401549","127401549",NA,NA
"LOC127401550","LOC127401550","127401550",NA,NA
"LOC127401551","LOC127401551","127401551",NA,NA
"LOC127401552","LOC127401552","127401552",NA,NA
"LOC127401553","LOC127401553","127401553",NA,NA
"LOC127401554","LOC127401554","127401554",NA,NA
"LOC127401555","LOC127401555","127401555",NA,NA
"LOC127401556","LOC127401556","127401556",NA,NA
"LOC127401557","LOC127401557","127401557",NA,NA
"LOC127401558","LOC127401558","127401558",NA,NA
"LOC127401559","LOC127401559","127401559",NA,NA
"LOC127401560","LOC127401560","127401560",NA,NA
"LOC127401561","LOC127401561","127401561",NA,NA
"LOC127401562","LOC127401562","127401562",NA,NA
"LOC127401563","LOC127401563","127401563",NA,NA
"LOC127401564","LOC127401564","127401564",NA,NA
"LOC127401565","LOC127401565","127401565",NA,NA
"LOC127401566","LOC127401566","127401566",NA,NA
"LOC127401567","LOC127401567","127401567",NA,NA
"LOC127401568","LOC127401568","127401568",NA,NA
"LOC127401569","LOC127401569","127401569",NA,NA
"LOC127401570","LOC127401570","127401570",NA,NA
"LOC127401571","LOC127401571","127401571",NA,NA
"LOC127401572","LOC127401572","127401572",NA,NA
"LOC127401573","LOC127401573","127401573",NA,NA
"LOC127401574","LOC127401574","127401574",NA,NA
"LOC127401575","LOC127401575","127401575",NA,NA
"LOC127401576","LOC127401576","127401576",NA,NA
"LOC127401577","LOC127401577","127401577",NA,NA
"LOC127401578","LOC127401578","127401578",NA,NA
"LOC127401579","LOC127401579","127401579",NA,NA
"LOC127401580","LOC127401580","127401580",NA,NA
"LOC127401581","LOC127401581","127401581",NA,NA
"LOC127401582","LOC127401582","127401582",NA,NA
"LOC127401583","LOC127401583","127401583",NA,NA
"LOC127401584","LOC127401584","127401584",NA,NA
"LOC127401585","LOC127401585","127401585",NA,NA
"LOC127401586","LOC127401586","127401586",NA,NA
"LOC127401587","LOC127401587","127401587",NA,NA
"LOC127401588","LOC127401588","127401588",NA,NA
"LOC127401589","LOC127401589","127401589",NA,NA
"LOC127401590","LOC127401590","127401590",NA,NA
"LOC127401591","LOC127401591","127401591",NA,NA
"LOC127401592","LOC127401592","127401592",NA,NA
"LOC127401593","LOC127401593","127401593",NA,NA
"LOC127401594","LOC127401594","127401594",NA,NA
"LOC127401595","LOC127401595","127401595",NA,NA
"LOC127401596","LOC127401596","127401596",NA,NA
"LOC127401597","LOC127401597","127401597",NA,NA
"LOC127401598","LOC127401598","127401598",NA,NA
"LOC127401599","LOC127401599","127401599",NA,NA
"LOC127401600","LOC127401600","127401600",NA,NA
"LOC127401601","LOC127401601","127401601",NA,NA
"LOC127401602","LOC127401602","127401602",NA,NA
"LOC127401603","LOC127401603","127401603",NA,NA
"LOC127401604","LOC127401604","127401604",NA,NA
"LOC127401605","LOC127401605","127401605",NA,NA
"LOC127401606","LOC127401606","127401606",NA,NA
"LOC127401607","LOC127401607","127401607",NA,NA
"LOC127401608","LOC127401608","127401608",NA,NA
"LOC127401609","LOC127401609","127401609",NA,NA
"LOC127401610","LOC127401610","127401610",NA,NA
"LOC127401611","LOC127401611","127401611",NA,NA
"LOC127401612","LOC127401612","127401612",NA,NA
"LOC127401613","LOC127401613","127401613",NA,NA
"LOC127401614","LOC127401614","127401614",NA,NA
"LOC127401615","LOC127401615","127401615",NA,NA
"LOC127401616","LOC127401616","127401616",NA,NA
"LOC127401617","LOC127401617","127401617",NA,NA
"LOC127401618","LOC127401618","127401618",NA,NA
"LOC127401619","LOC127401619","127401619",NA,NA
"LOC127401620","LOC127401620","127401620",NA,NA
"LOC127401621","LOC127401621","127401621",NA,NA
"LOC127401622","LOC127401622","127401622",NA,NA
"LOC127401623","LOC127401623","127401623",NA,NA
"LOC127401624","LOC127401624","127401624",NA,NA
"LOC127401625","LOC127401625","127401625",NA,NA
"LOC127401626","LOC127401626","127401626",NA,NA
"LOC127401627","LOC127401627","127401627",NA,NA
"LOC127401628","LOC127401628","127401628",NA,NA
"LOC127401629","LOC127401629","127401629",NA,NA
"LOC127401630","LOC127401630","127401630",NA,NA
"LOC127401631","LOC127401631","127401631",NA,NA
"LOC127401632","LOC127401632","127401632",NA,NA
"LOC127401633","LOC127401633","127401633",NA,NA
"LOC127401634","LOC127401634","127401634",NA,NA
"LOC127401635","LOC127401635","127401635",NA,NA
"LOC127401636","LOC127401636","127401636",NA,NA
"LOC127401637","LOC127401637","127401637",NA,NA
"LOC127401638","LOC127401638","127401638",NA,NA
"LOC127401639","LOC127401639","127401639",NA,NA
"LOC127401640","LOC127401640","127401640",NA,NA
"LOC127401641","LOC127401641","127401641",NA,NA
"LOC127401642","LOC127401642","127401642",NA,NA
"LOC127401643","LOC127401643","127401643",NA,NA
"LOC127401644","LOC127401644","127401644",NA,NA
"LOC127401645","LOC127401645","127401645",NA,NA
"LOC127401646","LOC127401646","127401646",NA,NA
"LOC127401647","LOC127401647","127401647",NA,NA
"LOC127401648","LOC127401648","127401648",NA,NA
"LOC127401649","LOC127401649","127401649",NA,NA
"LOC127401650","LOC127401650","127401650",NA,NA
"LOC127401651","LOC127401651","127401651",NA,NA
"LOC127401652","LOC127401652","127401652",NA,NA
"LOC127401653","LOC127401653","127401653",NA,NA
"LOC127401654","LOC127401654","127401654",NA,NA
"LOC127401655","LOC127401655","127401655",NA,NA
"LOC127401656","LOC127401656","127401656",NA,NA
"LOC127401657","LOC127401657","127401657",NA,NA
"LOC127401658","LOC127401658","127401658",NA,NA
"LOC127401659","LOC127401659","127401659",NA,NA
"LOC127401660","LOC127401660","127401660",NA,NA
"LOC127401661","LOC127401661","127401661",NA,NA
"LOC127401662","LOC127401662","127401662",NA,NA
"LOC127401663","LOC127401663","127401663",NA,NA
"LOC127401664","LOC127401664","127401664",NA,NA
"LOC127401665","LOC127401665","127401665",NA,NA
"LOC127401666","LOC127401666","127401666",NA,NA
"LOC127401667","LOC127401667","127401667",NA,NA
"LOC127401668","LOC127401668","127401668",NA,NA
"LOC127401669","LOC127401669","127401669",NA,NA
"LOC127401670","LOC127401670","127401670",NA,NA
"LOC127401671","LOC127401671","127401671",NA,NA
"LOC127401672","LOC127401672","127401672",NA,NA
"LOC127401673","LOC127401673","127401673",NA,NA
"LOC127401674","LOC127401674","127401674",NA,NA
"LOC127401675","LOC127401675","127401675",NA,NA
"LOC127401676","LOC127401676","127401676",NA,NA
"LOC127401677","LOC127401677","127401677",NA,NA
"LOC127401678","LOC127401678","127401678",NA,NA
"LOC127401679","LOC127401679","127401679",NA,NA
"LOC127401680","LOC127401680","127401680",NA,NA
"LOC127401681","LOC127401681","127401681",NA,NA
"LOC127401682","LOC127401682","127401682",NA,NA
"LOC127401683","LOC127401683","127401683",NA,NA
"LOC127401684","LOC127401684","127401684",NA,NA
"LOC127401685","LOC127401685","127401685",NA,NA
"LOC127401686","LOC127401686","127401686",NA,NA
"LOC127401687","LOC127401687","127401687",NA,NA
"LOC127401688","LOC127401688","127401688",NA,NA
"LOC127401689","LOC127401689","127401689",NA,NA
"LOC127401690","LOC127401690","127401690",NA,NA
"LOC127401691","LOC127401691","127401691",NA,NA
"LOC127401692","LOC127401692","127401692",NA,NA
"LOC127401693","LOC127401693","127401693",NA,NA
"LOC127401694","LOC127401694","127401694",NA,NA
"LOC127401695","LOC127401695","127401695",NA,NA
"LOC127401696","LOC127401696","127401696",NA,NA
"LOC127401697","LOC127401697","127401697",NA,NA
"LOC127401698","LOC127401698","127401698",NA,NA
"LOC127401699","LOC127401699","127401699",NA,NA
"LOC127401700","LOC127401700","127401700",NA,NA
"LOC127401701","LOC127401701","127401701",NA,NA
"LOC127401702","LOC127401702","127401702",NA,NA
"LOC127401703","LOC127401703","127401703",NA,NA
"LOC127401704","LOC127401704","127401704",NA,NA
"LOC127401705","LOC127401705","127401705",NA,NA
"LOC127401706","LOC127401706","127401706",NA,NA
"LOC127401707","LOC127401707","127401707",NA,NA
"LOC127401708","LOC127401708","127401708",NA,NA
"LOC127401709","LOC127401709","127401709",NA,NA
"LOC127401710","LOC127401710","127401710",NA,NA
"LOC127401711","LOC127401711","127401711",NA,NA
"LOC127401712","LOC127401712","127401712",NA,NA
"LOC127401713","LOC127401713","127401713",NA,NA
"LOC127401714","LOC127401714","127401714",NA,NA
"LOC127401715","LOC127401715","127401715",NA,NA
"LOC127401716","LOC127401716","127401716",NA,NA
"LOC127401718","LOC127401718","127401718",NA,NA
"LOC127401719","LOC127401719","127401719",NA,NA
"LOC127401720","LOC127401720","127401720",NA,NA
"LOC127401721","LOC127401721","127401721",NA,NA
"LOC127401722","LOC127401722","127401722",NA,NA
"LOC127401723","LOC127401723","127401723",NA,NA
"LOC127401724","LOC127401724","127401724",NA,NA
"LOC127401725","LOC127401725","127401725",NA,NA
"LOC127401726","LOC127401726","127401726",NA,NA
"LOC127401727","LOC127401727","127401727",NA,NA
"LOC127401728","LOC127401728","127401728",NA,NA
"LOC127401729","LOC127401729","127401729",NA,NA
"LOC127401730","LOC127401730","127401730",NA,NA
"LOC127401731","LOC127401731","127401731",NA,NA
"LOC127401732","LOC127401732","127401732",NA,NA
"LOC127401733","LOC127401733","127401733",NA,NA
"LOC127401734","LOC127401734","127401734",NA,NA
"LOC127401735","LOC127401735","127401735",NA,NA
"LOC127401736","LOC127401736","127401736",NA,NA
"LOC127401737","LOC127401737","127401737",NA,NA
"LOC127401738","LOC127401738","127401738",NA,NA
"LOC127401739","LOC127401739","127401739",NA,NA
"LOC127401740","LOC127401740","127401740",NA,NA
"LOC127401741","LOC127401741","127401741",NA,NA
"LOC127401742","LOC127401742","127401742",NA,NA
"LOC127401743","LOC127401743","127401743",NA,NA
"LOC127401744","LOC127401744","127401744",NA,NA
"LOC127401745","LOC127401745","127401745",NA,NA
"LOC127401746","LOC127401746","127401746",NA,NA
"LOC127401747","LOC127401747","127401747",NA,NA
"LOC127401748","LOC127401748","127401748",NA,NA
"LOC127401749","LOC127401749","127401749",NA,NA
"LOC127401750","LOC127401750","127401750",NA,NA
"LOC127401751","LOC127401751","127401751",NA,NA
"LOC127401752","LOC127401752","127401752",NA,NA
"LOC127401753","LOC127401753","127401753",NA,NA
"LOC127401754","LOC127401754","127401754",NA,NA
"LOC127401755","LOC127401755","127401755",NA,NA
"LOC127401756","LOC127401756","127401756",NA,NA
"LOC127401757","LOC127401757","127401757",NA,NA
"LOC127401758","LOC127401758","127401758",NA,NA
"LOC127401759","LOC127401759","127401759",NA,NA
"LOC127401760","LOC127401760","127401760",NA,NA
"LOC127401761","LOC127401761","127401761",NA,NA
"LOC127401762","LOC127401762","127401762",NA,NA
"LOC127401763","LOC127401763","127401763",NA,NA
"LOC127401764","LOC127401764","127401764",NA,NA
"LOC127401765","LOC127401765","127401765",NA,NA
"LOC127401766","LOC127401766","127401766",NA,NA
"LOC127401767","LOC127401767","127401767",NA,NA
"LOC127401768","LOC127401768","127401768",NA,NA
"LOC127401769","LOC127401769","127401769",NA,NA
"LOC127401770","LOC127401770","127401770",NA,NA
"LOC127401771","LOC127401771","127401771",NA,NA
"LOC127401772","LOC127401772","127401772",NA,NA
"LOC127401773","LOC127401773","127401773",NA,NA
"LOC127401774","LOC127401774","127401774",NA,NA
"LOC127401775","LOC127401775","127401775",NA,NA
"LOC127401776","LOC127401776","127401776",NA,NA
"LOC127401777","LOC127401777","127401777",NA,NA
"LOC127401778","LOC127401778","127401778",NA,NA
"LOC127401779","LOC127401779","127401779",NA,NA
"LOC127401780","LOC127401780","127401780",NA,NA
"LOC127401781","LOC127401781","127401781",NA,NA
"LOC127401782","LOC127401782","127401782",NA,NA
"LOC127401783","LOC127401783","127401783",NA,NA
"LOC127401784","LOC127401784","127401784",NA,NA
"LOC127401785","LOC127401785","127401785",NA,NA
"LOC127401786","LOC127401786","127401786",NA,NA
"LOC127401787","LOC127401787","127401787",NA,NA
"LOC127401788","LOC127401788","127401788",NA,NA
"LOC127401789","LOC127401789","127401789",NA,NA
"LOC127401790","LOC127401790","127401790",NA,NA
"LOC127401791","LOC127401791","127401791",NA,NA
"LOC127401792","LOC127401792","127401792",NA,NA
"LOC127401793","LOC127401793","127401793",NA,NA
"LOC127401794","LOC127401794","127401794",NA,NA
"LOC127401795","LOC127401795","127401795",NA,NA
"LOC127401796","LOC127401796","127401796",NA,NA
"LOC127401797","LOC127401797","127401797",NA,NA
"LOC127401798","LOC127401798","127401798",NA,NA
"LOC127401799","LOC127401799","127401799",NA,NA
"LOC127401800","LOC127401800","127401800",NA,NA
"LOC127401801","LOC127401801","127401801",NA,NA
"LOC127401802","LOC127401802","127401802",NA,NA
"LOC127401803","LOC127401803","127401803",NA,NA
"LOC127401804","LOC127401804","127401804",NA,NA
"LOC127401805","LOC127401805","127401805",NA,NA
"LOC127401806","LOC127401806","127401806",NA,NA
"LOC127401807","LOC127401807","127401807",NA,NA
"LOC127401808","LOC127401808","127401808",NA,NA
"LOC127401809","LOC127401809","127401809",NA,NA
"LOC127401810","LOC127401810","127401810",NA,NA
"LOC127401811","LOC127401811","127401811",NA,NA
"LOC127401813","LOC127401813","127401813",NA,NA
"LOC127401815","LOC127401815","127401815",NA,NA
"LOC127401816","LOC127401816","127401816",NA,NA
"LOC127401817","LOC127401817","127401817",NA,NA
"LOC127401818","LOC127401818","127401818",NA,NA
"LOC127401819","LOC127401819","127401819",NA,NA
"LOC127401820","LOC127401820","127401820",NA,NA
"LOC127401821","LOC127401821","127401821",NA,NA
"LOC127401822","LOC127401822","127401822",NA,NA
"LOC127401823","LOC127401823","127401823",NA,NA
"LOC127401824","LOC127401824","127401824",NA,NA
"LOC127401825","LOC127401825","127401825",NA,NA
"LOC127401826","LOC127401826","127401826",NA,NA
"LOC127401827","LOC127401827","127401827",NA,NA
"LOC127401828","LOC127401828","127401828",NA,NA
"LOC127401829","LOC127401829","127401829",NA,NA
"LOC127401830","LOC127401830","127401830",NA,NA
"LOC127401831","LOC127401831","127401831",NA,NA
"LOC127401832","LOC127401832","127401832",NA,NA
"LOC127401833","LOC127401833","127401833",NA,NA
"LOC127401834","LOC127401834","127401834",NA,NA
"LOC127401835","LOC127401835","127401835",NA,NA
"LOC127401836","LOC127401836","127401836",NA,NA
"LOC127401837","LOC127401837","127401837",NA,NA
"LOC127401838","LOC127401838","127401838",NA,NA
"LOC127401839","LOC127401839","127401839",NA,NA
"LOC127401840","LOC127401840","127401840",NA,NA
"LOC127401841","LOC127401841","127401841",NA,NA
"LOC127401842","LOC127401842","127401842",NA,NA
"LOC127401843","LOC127401843","127401843",NA,NA
"LOC127401844","LOC127401844","127401844",NA,NA
"LOC127401845","LOC127401845","127401845",NA,NA
"LOC127401846","LOC127401846","127401846",NA,NA
"LOC127401847","LOC127401847","127401847",NA,NA
"LOC127401848","LOC127401848","127401848",NA,NA
"LOC127401849","LOC127401849","127401849",NA,NA
"LOC127401850","LOC127401850","127401850",NA,NA
"LOC127401851","LOC127401851","127401851",NA,NA
"LOC127401852","LOC127401852","127401852",NA,NA
"LOC127401853","LOC127401853","127401853",NA,NA
"LOC127401854","LOC127401854","127401854",NA,NA
"LOC127401855","LOC127401855","127401855",NA,NA
"LOC127401856","LOC127401856","127401856",NA,NA
"LOC127401857","LOC127401857","127401857",NA,NA
"LOC127401858","LOC127401858","127401858",NA,NA
"LOC127401859","LOC127401859","127401859",NA,NA
"LOC127401860","LOC127401860","127401860",NA,NA
"LOC127401861","LOC127401861","127401861",NA,NA
"LOC127401862","LOC127401862","127401862",NA,NA
"LOC127401863","LOC127401863","127401863",NA,NA
"LOC127401864","LOC127401864","127401864",NA,NA
"LOC127401865","LOC127401865","127401865",NA,NA
"LOC127401866","LOC127401866","127401866",NA,NA
"LOC127401867","LOC127401867","127401867",NA,NA
"LOC127401868","LOC127401868","127401868",NA,NA
"LOC127401869","LOC127401869","127401869",NA,NA
"LOC127401870","LOC127401870","127401870",NA,NA
"LOC127401871","LOC127401871","127401871",NA,NA
"LOC127401872","LOC127401872","127401872",NA,NA
"LOC127401873","LOC127401873","127401873",NA,NA
"LOC127401874","LOC127401874","127401874",NA,NA
"LOC127401875","LOC127401875","127401875",NA,NA
"LOC127401876","LOC127401876","127401876",NA,NA
"LOC127401877","LOC127401877","127401877",NA,NA
"LOC127401878","LOC127401878","127401878",NA,NA
"LOC127401879","LOC127401879","127401879",NA,NA
"LOC127401880","LOC127401880","127401880",NA,NA
"LOC127401881","LOC127401881","127401881",NA,NA
"LOC127401882","LOC127401882","127401882",NA,NA
"LOC127401883","LOC127401883","127401883",NA,NA
"LOC127401884","LOC127401884","127401884",NA,NA
"LOC127401885","LOC127401885","127401885",NA,NA
"LOC127401886","LOC127401886","127401886",NA,NA
"LOC127401887","LOC127401887","127401887",NA,NA
"LOC127401888","LOC127401888","127401888",NA,NA
"LOC127401889","LOC127401889","127401889",NA,NA
"LOC127401890","LOC127401890","127401890",NA,NA
"LOC127401891","LOC127401891","127401891",NA,NA
"LOC127401892","LOC127401892","127401892",NA,NA
"LOC127401893","LOC127401893","127401893",NA,NA
"LOC127401894","LOC127401894","127401894",NA,NA
"LOC127401895","LOC127401895","127401895",NA,NA
"LOC127401896","LOC127401896","127401896",NA,NA
"LOC127401897","LOC127401897","127401897",NA,NA
"LOC127401898","LOC127401898","127401898",NA,NA
"LOC127401899","LOC127401899","127401899",NA,NA
"LOC127401900","LOC127401900","127401900",NA,NA
"LOC127401901","LOC127401901","127401901",NA,NA
"LOC127401902","LOC127401902","127401902",NA,NA
"LOC127401903","LOC127401903","127401903",NA,NA
"LOC127401904","LOC127401904","127401904",NA,NA
"LOC127401905","LOC127401905","127401905",NA,NA
"LOC127401906","LOC127401906","127401906",NA,NA
"LOC127401907","LOC127401907","127401907",NA,NA
"LOC127401908","LOC127401908","127401908",NA,NA
"LOC127401909","LOC127401909","127401909",NA,NA
"LOC127401910","LOC127401910","127401910",NA,NA
"LOC127401911","LOC127401911","127401911",NA,NA
"LOC127401912","LOC127401912","127401912",NA,NA
"LOC127401913","LOC127401913","127401913",NA,NA
"LOC127401914","LOC127401914","127401914",NA,NA
"LOC127401915","LOC127401915","127401915",NA,NA
"LOC127401916","LOC127401916","127401916",NA,NA
"LOC127401917","LOC127401917","127401917",NA,NA
"LOC127401918","LOC127401918","127401918",NA,NA
"LOC127401919","LOC127401919","127401919",NA,NA
"LOC127401920","LOC127401920","127401920",NA,NA
"LOC127401921","LOC127401921","127401921",NA,NA
"LOC127401922","LOC127401922","127401922",NA,NA
"LOC127401923","LOC127401923","127401923",NA,NA
"LOC127401924","LOC127401924","127401924",NA,NA
"LOC127401925","LOC127401925","127401925",NA,NA
"LOC127401926","LOC127401926","127401926",NA,NA
"LOC127401927","LOC127401927","127401927",NA,NA
"LOC127401928","LOC127401928","127401928",NA,NA
"LOC127401929","LOC127401929","127401929",NA,NA
"LOC127401930","LOC127401930","127401930",NA,NA
"LOC127401931","LOC127401931","127401931",NA,NA
"LOC127401932","LOC127401932","127401932",NA,NA
"LOC127401933","LOC127401933","127401933",NA,NA
"LOC127401934","LOC127401934","127401934",NA,NA
"LOC127401935","LOC127401935","127401935",NA,NA
"LOC127401936","LOC127401936","127401936",NA,NA
"LOC127401937","LOC127401937","127401937",NA,NA
"LOC127401938","LOC127401938","127401938",NA,NA
"LOC127401939","LOC127401939","127401939",NA,NA
"LOC127401940","LOC127401940","127401940",NA,NA
"LOC127401941","LOC127401941","127401941",NA,NA
"LOC127401942","LOC127401942","127401942",NA,NA
"LOC127401943","LOC127401943","127401943",NA,NA
"LOC127401944","LOC127401944","127401944",NA,NA
"LOC127401945","LOC127401945","127401945",NA,NA
"LOC127401946","LOC127401946","127401946",NA,NA
"LOC127401947","LOC127401947","127401947",NA,NA
"LOC127401948","LOC127401948","127401948",NA,NA
"LOC127401949","LOC127401949","127401949",NA,NA
"LOC127401950","LOC127401950","127401950",NA,NA
"LOC127401951","LOC127401951","127401951",NA,NA
"LOC127401952","LOC127401952","127401952",NA,NA
"LOC127401953","LOC127401953","127401953",NA,NA
"LOC127401954","LOC127401954","127401954",NA,NA
"LOC127401955","LOC127401955","127401955",NA,NA
"LOC127401956","LOC127401956","127401956",NA,NA
"LOC127401957","LOC127401957","127401957",NA,NA
"LOC127401958","LOC127401958","127401958",NA,NA
"LOC127401959","LOC127401959","127401959",NA,NA
"LOC127401960","LOC127401960","127401960",NA,NA
"LOC127401961","LOC127401961","127401961",NA,NA
"LOC127401962","LOC127401962","127401962",NA,NA
"LOC127401963","LOC127401963","127401963",NA,NA
"LOC127401964","LOC127401964","127401964",NA,NA
"LOC127401965","LOC127401965","127401965",NA,NA
"LOC127401966","LOC127401966","127401966",NA,NA
"LOC127401967","LOC127401967","127401967",NA,NA
"LOC127401968","LOC127401968","127401968",NA,NA
"LOC127401969","LOC127401969","127401969",NA,NA
"LOC127401970","LOC127401970","127401970",NA,NA
"LOC127401971","LOC127401971","127401971",NA,NA
"LOC127401972","LOC127401972","127401972",NA,NA
"LOC127401973","LOC127401973","127401973",NA,NA
"LOC127401974","LOC127401974","127401974",NA,NA
"LOC127401975","LOC127401975","127401975",NA,NA
"LOC127401976","LOC127401976","127401976",NA,NA
"LOC127401977","LOC127401977","127401977",NA,NA
"LOC127401978","LOC127401978","127401978",NA,NA
"LOC127401979","LOC127401979","127401979",NA,NA
"LOC127401980","LOC127401980","127401980",NA,NA
"LOC127401981","LOC127401981","127401981",NA,NA
"LOC127401982","LOC127401982","127401982",NA,NA
"LOC127401983","LOC127401983","127401983",NA,NA
"LOC127401984","LOC127401984","127401984",NA,NA
"LOC127401985","LOC127401985","127401985",NA,NA
"LOC127401986","LOC127401986","127401986",NA,NA
"LOC127401987","LOC127401987","127401987",NA,NA
"LOC127401988","LOC127401988","127401988",NA,NA
"LOC127401989","LOC127401989","127401989",NA,NA
"LOC127401990","LOC127401990","127401990",NA,NA
"LOC127401991","LOC127401991","127401991",NA,NA
"LOC127401992","LOC127401992","127401992",NA,NA
"LOC127401993","LOC127401993","127401993",NA,NA
"LOC127401994","LOC127401994","127401994",NA,NA
"LOC127401995","LOC127401995","127401995",NA,NA
"LOC127401996","LOC127401996","127401996",NA,NA
"LOC127401997","LOC127401997","127401997",NA,NA
"LOC127401998","LOC127401998","127401998",NA,NA
"LOC127401999","LOC127401999","127401999",NA,NA
"LOC127402000","LOC127402000","127402000",NA,NA
"LOC127402001","LOC127402001","127402001",NA,NA
"LOC127402002","LOC127402002","127402002",NA,NA
"LOC127402003","LOC127402003","127402003",NA,NA
"LOC127402004","LOC127402004","127402004",NA,NA
"LOC127402005","LOC127402005","127402005",NA,NA
"LOC127402006","LOC127402006","127402006",NA,NA
"LOC127402007","LOC127402007","127402007",NA,NA
"LOC127402008","LOC127402008","127402008",NA,NA
"LOC127402009","LOC127402009","127402009",NA,NA
"LOC127402010","LOC127402010","127402010",NA,NA
"LOC127402011","LOC127402011","127402011",NA,NA
"LOC127402012","LOC127402012","127402012",NA,NA
"LOC127402013","LOC127402013","127402013",NA,NA
"LOC127402014","LOC127402014","127402014",NA,NA
"LOC127402015","LOC127402015","127402015",NA,NA
"LOC127402016","LOC127402016","127402016",NA,NA
"LOC127402017","LOC127402017","127402017",NA,NA
"LOC127402018","LOC127402018","127402018",NA,NA
"LOC127402019","LOC127402019","127402019",NA,NA
"LOC127402020","LOC127402020","127402020",NA,NA
"LOC127402021","LOC127402021","127402021",NA,NA
"LOC127402022","LOC127402022","127402022",NA,NA
"LOC127402023","LOC127402023","127402023",NA,NA
"LOC127402024","LOC127402024","127402024",NA,NA
"LOC127402025","LOC127402025","127402025",NA,NA
"LOC127402026","LOC127402026","127402026",NA,NA
"LOC127402027","LOC127402027","127402027",NA,NA
"LOC127402028","LOC127402028","127402028",NA,NA
"LOC127402029","LOC127402029","127402029",NA,NA
"LOC127402030","LOC127402030","127402030",NA,NA
"LOC127402031","LOC127402031","127402031",NA,NA
"LOC127402032","LOC127402032","127402032",NA,NA
"LOC127402033","LOC127402033","127402033",NA,NA
"LOC127402034","LOC127402034","127402034",NA,NA
"LOC127402035","LOC127402035","127402035",NA,NA
"LOC127402036","LOC127402036","127402036",NA,NA
"LOC127402037","LOC127402037","127402037",NA,NA
