"","from_gene","Mus_musculus","Homo_sapiens","to_symbol"
"Gm5403","Gm5403","385523",NA,NA
"Gm14585","Gm14585","385527",NA,NA
"Srsy","Srsy","385550",NA,NA
"Gm20739","Gm20739","385568",NA,NA
"Kng2","Kng2","385643",NA,NA
"Nxpe3","Nxpe3","385658",91775,"NXPE3"
"Lca5l","Lca5l","385668",150082,"LCA5L"
"Zfp174","Zfp174","385674",7727,"ZNF174"
"Gm1758","Gm1758","385737",NA,NA
"Gm5404","Gm5404","385748",NA,NA
"Gm5405","Gm5405","385820",NA,NA
"Gm5406","Gm5406","385905",NA,NA
"Gm5407","Gm5407","386061",NA,NA
"Gm15593","Gm15593","386426",NA,NA
"Trav15-1-dv6-1","Trav15-1-dv6-1","386446",NA,NA
"Trav7-4","Trav7-4","386450",NA,NA
"Rnf39","Rnf39","386454",80352,"RNF39"
"Cdsn","Cdsn","386463",1041,"CDSN"
"Gm5408","Gm5408","386506",NA,NA
"Gm5409","Gm5409","386551",NA,NA
"Rnf133","Rnf133","386611",168433,"RNF133"
"Thoc6","Thoc6","386612",79228,"THOC6"
"Nsfl1c","Nsfl1c","386649",55968,"NSFL1C"
"Eid2","Eid2","386655",163126,"EID2"
"Slitrk3","Slitrk3","386750",22865,"SLITRK3"
"Dbpht2","Dbpht2","386753",NA,NA
"Ssxb9","Ssxb9","387131",NA,NA
"Ssxb2","Ssxb2","387132",NA,NA
"Mir9-1","Mir9-1","387133",NA,NA
"Mir16-1","Mir16-1","387134",NA,NA
"Mir18","Mir18","387135",NA,NA
"Mir1a-1","Mir1a-1","387136",NA,NA
"Mir20a","Mir20a","387139",NA,NA
"Mir21a","Mir21a","387140",NA,NA
"Mir22","Mir22","387141",NA,NA
"Mir24-1","Mir24-1","387142",NA,NA
"Mir101a","Mir101a","387143",NA,NA
"Mir10b","Mir10b","387144",NA,NA
"Mir126a","Mir126a","387145",NA,NA
"Mir127","Mir127","387146",NA,NA
"Mir128-1","Mir128-1","387147",NA,NA
"Mir129","Mir129","387148",NA,NA
"Mir130a","Mir130a","387149",NA,NA
"Mir132","Mir132","387150",NA,NA
"Mir133a-1","Mir133a-1","387151",NA,NA
"Mir134","Mir134","387152",NA,NA
"Mir135a-1","Mir135a-1","387153",NA,NA
"Mir136","Mir136","387154",NA,NA
"Mir137","Mir137","387155",NA,NA
"Mir138-1","Mir138-1","387156",NA,NA
"Mir139","Mir139","387157",NA,NA
"Mir140","Mir140","387158",NA,NA
"Mir141","Mir141","387159",NA,NA
"Mir142","Mir142","387160",NA,NA
"Mir143","Mir143","387161",NA,NA
"Mir144","Mir144","387162",NA,NA
"Mir145a","Mir145a","387163",NA,NA
"Mir146","Mir146","387164",NA,NA
"Mir147","Mir147","387165",NA,NA
"Mir148a","Mir148a","387166",NA,NA
"Mir149","Mir149","387167",NA,NA
"Mir150","Mir150","387168",NA,NA
"Mir151","Mir151","387169",NA,NA
"Mir152","Mir152","387170",NA,NA
"Mir153","Mir153","387171",NA,NA
"Mir154","Mir154","387172",NA,NA
"Mir155","Mir155","387173",NA,NA
"Mir15a","Mir15a","387174",NA,NA
"Mir15b","Mir15b","387175",NA,NA
"Mir181a-2","Mir181a-2","387176",NA,NA
"Mir182","Mir182","387177",NA,NA
"Mir183","Mir183","387178",NA,NA
"Mir184","Mir184","387179",NA,NA
"Mir185","Mir185","387180",NA,NA
"Mir186","Mir186","387181",NA,NA
"Mir187","Mir187","387182",NA,NA
"Mir188","Mir188","387183",NA,NA
"Mir190a","Mir190a","387185",NA,NA
"Mir191","Mir191","387186",NA,NA
"Mir192","Mir192","387187",NA,NA
"Mir193a","Mir193a","387188",NA,NA
"Mir194-1","Mir194-1","387189",NA,NA
"Mir195a","Mir195a","387190",NA,NA
"Mir196a-1","Mir196a-1","387191",NA,NA
"Mir199a-1","Mir199a-1","387194",NA,NA
"Mir19b-2","Mir19b-2","387195",NA,NA
"Mir201","Mir201","387197",NA,NA
"Mir202","Mir202","387198",NA,NA
"Mir203","Mir203","387199",NA,NA
"Mir204","Mir204","387200",NA,NA
"Mir205","Mir205","387201",NA,NA
"Mir206","Mir206","387202",NA,NA
"Mir207","Mir207","387203",NA,NA
"Mir208a","Mir208a","387204",NA,NA
"Mir210","Mir210","387206",NA,NA
"Mir211","Mir211","387207",NA,NA
"Mir212","Mir212","387208",NA,NA
"Mir214","Mir214","387210",NA,NA
"Mir215","Mir215","387211",NA,NA
"Mir216a","Mir216a","387212",NA,NA
"Mir217","Mir217","387213",NA,NA
"Mir218","Mir218","387214",NA,NA
"Mir23a","Mir23a","387216",NA,NA
"Mir23b","Mir23b","387217",NA,NA
"Mir26a-1","Mir26a-1","387218",NA,NA
"Mir26b","Mir26b","387219",NA,NA
"Mir27a","Mir27a","387220",NA,NA
"Mir27b","Mir27b","387221",NA,NA
"Mir29a","Mir29a","387222",NA,NA
"Mir29b-1","Mir29b-1","387223",NA,NA
"Mir29c","Mir29c","387224",NA,NA
"Mir30a","Mir30a","387225",NA,NA
"Mir30b","Mir30b","387226",NA,NA
"Mir30c-1","Mir30c-1","387227",NA,NA
"Mir30d","Mir30d","387228",NA,NA
"Mir99a","Mir99a","387229",NA,NA
"Mir99b","Mir99b","387230",NA,NA
"Mir122","Mir122","387231",NA,NA
"Mir124a-1","Mir124a-1","387233",NA,NA
"Mir125a","Mir125a","387235",NA,NA
"Mir125b-1","Mir125b-1","387236",NA,NA
"Mir129-1","Mir129-1","387237",NA,NA
"Mir199b","Mir199b","387239",NA,NA
"Mir199c","Mir199c","387240",NA,NA
"Mir199s","Mir199s","387241",NA,NA
"Mir200a","Mir200a","387242",NA,NA
"Mir200b","Mir200b","387243",NA,NA
"Mirlet7a-1","Mirlet7a-1","387244",NA,NA
"Mirlet7b","Mirlet7b","387245",NA,NA
"Mirlet7c-1","Mirlet7c-1","387246",NA,NA
"Mirlet7d","Mirlet7d","387247",NA,NA
"Mirlet7e","Mirlet7e","387248",NA,NA
"Mirlet7g","Mirlet7g","387249",NA,NA
"Mirlet7h","Mirlet7h","387250",NA,NA
"Mirlet7i","Mirlet7i","387251",NA,NA
"Mirlet7f-1","Mirlet7f-1","387252",NA,NA
"Mirlet7f-2","Mirlet7f-2","387253",NA,NA
"Ssxb7","Ssxb7","387284",NA,NA
"Hcrtr2","Hcrtr2","387285",3062,"HCRTR2"
"Tmtc1","Tmtc1","387314",83857,"TMTC1"
"Defb50","Defb50","387334",NA,NA
"Tas2r102","Tas2r102","387339",NA,NA
"Tas2r104","Tas2r104","387340",NA,NA
"Tas2r106","Tas2r106","387341",NA,NA
"Tas2r107","Tas2r107","387342",NA,NA
"Tas2r109","Tas2r109","387343",NA,NA
"Tas2r110","Tas2r110","387344",NA,NA
"Tas2r113","Tas2r113","387345",NA,NA
"Tas2r114","Tas2r114","387346",NA,NA
"Tas2r118","Tas2r118","387347",50833,"TAS2R16"
"Tas2r120","Tas2r120","387348",NA,NA
"Tas2r121","Tas2r121","387349",NA,NA
"Tas2r124","Tas2r124","387351",NA,NA
"Tas2r125","Tas2r125","387352",NA,NA
"Tas2r126","Tas2r126","387353",NA,NA
"Tas2r129","Tas2r129","387354",NA,NA
"Tas2r130","Tas2r130","387355",NA,NA
"Tas2r131","Tas2r131","387356",353164,"TAS2R42"
"Ifnk","Ifnk","387510",56832,"IFNK"
"Tas2r134","Tas2r134","387511",NA,NA
"Tas2r135","Tas2r135","387512",338398,"TAS2R60"
"Tas2r138","Tas2r138","387513",5726,"TAS2R38"
"Tas2r143","Tas2r143","387514",NA,NA
"Tas2r144","Tas2r144","387515",259286,"TAS2R40"
"Tas2r146-ps1","Tas2r146-ps1","387516",NA,NA
"Tas2r111-ps2","Tas2r111-ps2","387517",NA,NA
"Tas2r145-ps3","Tas2r145-ps3","387518",NA,NA
"Tas2r141-ps4","Tas2r141-ps4","387519",NA,NA
"Tas2r142-ps5","Tas2r142-ps5","387520",NA,NA
"Znrf2","Znrf2","387524",223082,"ZNRF2"
"Sval3","Sval3","387564",NA,NA
"Cd300c","Cd300c","387565",10871,"CD300C"
"Ssxb5","Ssxb5","387586",NA,NA
"Ssxb11","Ssxb11","387588",NA,NA
"Ssxb12","Ssxb12","387589",NA,NA
"Mthfr-ps1","Mthfr-ps1","387594",NA,NA
"Zhx2","Zhx2","387609",22882,"ZHX2"
"Tas2r140","Tas2r140","387616",NA,NA
"Mettl7a2","Mettl7a2","393082",NA,NA
"BC046401","BC046401","394191",NA,NA
"Serpinb3d","Serpinb3d","394252",NA,NA
"Ugt1a10","Ugt1a10","394430",NA,NA
"Ugt1a@","Ugt1a@","394431",NA,NA
"Ugt1a7c","Ugt1a7c","394432",NA,NA
"Ugt1a5","Ugt1a5","394433",NA,NA
"Ugt1a9","Ugt1a9","394434",NA,NA
"Ugt1a6b","Ugt1a6b","394435",NA,NA
"Ugt1a1","Ugt1a1","394436",NA,NA
"Flrt1","Flrt1","396184",23769,"FLRT1"
"Snhg3","Snhg3","399101",NA,NA
"Map4k5","Map4k5","399510",11183,"MAP4K5"
"Scn4b","Scn4b","399548",6330,"SCN4B"
"H2-M10.6","H2-M10.6","399549",NA,NA
"Flrt2","Flrt2","399558",23768,"FLRT2"
"Btbd6","Btbd6","399566",90135,"BTBD6"
"Cdin1","Cdin1","399568",84529,"CDIN1"
"Kank4os","Kank4os","399570",NA,NA
"E430010N07Rik","E430010N07Rik","399572",NA,NA
"1110065F06Rik","1110065F06Rik","399573",NA,NA
"D630050G16Rik","D630050G16Rik","399574",NA,NA
"D930021H04Rik","D930021H04Rik","399575",NA,NA
"B230204D01Rik","B230204D01Rik","399577",NA,NA
"8030447M02Rik","8030447M02Rik","399578",NA,NA
"6720462K09Rik","6720462K09Rik","399579",NA,NA
"C130051G18Rik","C130051G18Rik","399580",NA,NA
"C130057M05Rik","C130057M05Rik","399581",NA,NA
"C730045M19Rik","C730045M19Rik","399582",NA,NA
"E330034L11Rik","E330034L11Rik","399583",NA,NA
"6430502G17Rik","6430502G17Rik","399587",NA,NA
"C230011H18Rik","C230011H18Rik","399590",NA,NA
"Tmsb15l","Tmsb15l","399591",NA,NA
"8430406M14Rik","8430406M14Rik","399592",NA,NA
"8030497I03Rik","8030497I03Rik","399593",NA,NA
"D430013B06Rik","D430013B06Rik","399594",NA,NA
"B130011D17Rik","B130011D17Rik","399597",NA,NA
"Ccdc87","Ccdc87","399599",55231,"CCDC87"
"7030407E18Rik","7030407E18Rik","399600",NA,NA
"D830039D19Rik","D830039D19Rik","399601",NA,NA
"9930024M15Rik","9930024M15Rik","399602",NA,NA
"Lratd2","Lratd2","399603",157638,"LRATD2"
"C530014P21Rik","C530014P21Rik","399604",NA,NA
"D330045E12Rik","D330045E12Rik","399605",NA,NA
"D230007G03Rik","D230007G03Rik","399606",NA,NA
"D230019N24Rik","D230019N24Rik","399607",NA,NA
"9430088F21Rik","9430088F21Rik","399608",NA,NA
"C130046K22Rik","C130046K22Rik","399609",NA,NA
"A230091C14Rik","A230091C14Rik","399611",NA,NA
"9630010G10Rik","9630010G10Rik","399612",NA,NA
"C130009A20Rik","C130009A20Rik","399614",NA,NA
"A130078K24Rik","A130078K24Rik","399616",NA,NA
"A130019P10Rik","A130019P10Rik","399617",NA,NA
"A930027P06Rik","A930027P06Rik","399619",NA,NA
"A630024P14Rik","A630024P14Rik","399621",NA,NA
"5930433N17Rik","5930433N17Rik","399623",NA,NA
"C330024C12Rik","C330024C12Rik","399626",NA,NA
"D030007L05Rik","D030007L05Rik","399627",NA,NA
"9530029O12Rik","9530029O12Rik","399629",NA,NA
"D130009B15Rik","D130009B15Rik","399631",NA,NA
"A630014C17Rik","A630014C17Rik","399633",NA,NA
"D230044B12Rik","D230044B12Rik","399635",NA,NA
"9530001J02Rik","9530001J02Rik","399636",NA,NA
"C130079B09Rik","C130079B09Rik","399637",NA,NA
"A030001D16Rik","A030001D16Rik","399638",NA,NA
"C530038A18Rik","C530038A18Rik","399639",NA,NA
"A1300008O04Rik","A1300008O04Rik","399640",NA,NA
"A7300091P13Rik","A7300091P13Rik","399641",NA,NA
"Tdpoz2","Tdpoz2","399673",NA,NA
"Tdpoz3","Tdpoz3","399674",NA,NA
"Tdpoz4","Tdpoz4","399675",NA,NA
"Tdpoz5","Tdpoz5","399676",NA,NA
"E030016H06Rik","E030016H06Rik","402722",NA,NA
"E130104P22Rik","E130104P22Rik","402723",NA,NA
"A330106F07Rik","A330106F07Rik","402724",NA,NA
"C530045E16Rik","C530045E16Rik","402725",NA,NA
"A630028G03Rik","A630028G03Rik","402726",NA,NA
"A730009L09Rik","A730009L09Rik","402727",NA,NA
"Pax6os1","Pax6os1","402728",NA,NA
"9330184L24Rik","9330184L24Rik","402729",NA,NA
"Foxo6os","Foxo6os","402730",NA,NA
"2900046D03Rik","2900046D03Rik","402731",NA,NA
"A030012G06Rik","A030012G06Rik","402732",NA,NA
"C730036E19Rik","C730036E19Rik","402734",NA,NA
"B230114P17Rik","B230114P17Rik","402735",NA,NA
"A130014A01Rik","A130014A01Rik","402737",NA,NA
"B230308H17Rik","B230308H17Rik","402738",NA,NA
"C030010F05Rik","C030010F05Rik","402740",NA,NA
"C030004N09Rik","C030004N09Rik","402741",NA,NA
"C130063K03Rik","C130063K03Rik","402743",NA,NA
"C130076G22Rik","C130076G22Rik","402744",NA,NA
"E430022E14Rik","E430022E14Rik","402745",NA,NA
"A230054M22Rik","A230054M22Rik","402746",NA,NA
"D630004N19Rik","D630004N19Rik","402747",NA,NA
"B430316J06Rik","B430316J06Rik","402749",NA,NA
"C130057G02Rik","C130057G02Rik","402750",NA,NA
"C430019N01Rik","C430019N01Rik","402751",NA,NA
"C130068B02Rik","C130068B02Rik","402752",NA,NA
"D630033A02Rik","D630033A02Rik","402753",NA,NA
"5930427L02Rik","5930427L02Rik","402754",NA,NA
"6030487A22Rik","6030487A22Rik","402755",NA,NA
"6030495B02Rik","6030495B02Rik","402756",NA,NA
"9830166K06Rik","9830166K06Rik","402757",NA,NA
"A330074H02Rik","A330074H02Rik","402758",NA,NA
"A330087D11Rik","A330087D11Rik","402759",NA,NA
"A430050A11Rik","A430050A11Rik","402760",NA,NA
"A530064N14Rik","A530064N14Rik","402761",NA,NA
"A630073K07Rik","A630073K07Rik","402763",NA,NA
"6030403N03Rik","6030403N03Rik","402764",NA,NA
"6030422H21Rik","6030422H21Rik","402765",NA,NA
"7030407A21Rik","7030407A21Rik","402766",NA,NA
"A830052D11Rik","A830052D11Rik","402767",NA,NA
"B230209G03Rik","B230209G03Rik","402768",NA,NA
"C130083A15Rik","C130083A15Rik","402770",NA,NA
"C130090I23Rik","C130090I23Rik","402771",NA,NA
"C130098B18Rik","C130098B18Rik","402772",NA,NA
"D030018L15Rik","D030018L15Rik","402773",NA,NA
"D030025E07Rik","D030025E07Rik","402774",NA,NA
"D130095D21Rik","D130095D21Rik","402775",NA,NA
"Tcaf3","Tcaf3","403088",NA,NA
"Banf2","Banf2","403171",140836,"BANF2"
"Defb21","Defb21","403172",NA,NA
"Msantd1","Msantd1","403174",345222,"MSANTD1"
"Tigd4","Tigd4","403175",201798,"TIGD4"
"Plcxd1","Plcxd1","403178",55344,"PLCXD1"
"Ccdc121rt1","Ccdc121rt1","403180",NA,NA
"Mettl21e","Mettl21e","403183",NA,NA
"Cfap97d2","Cfap97d2","403185",101929355,"CFAP97D2"
"Opa3","Opa3","403187",NA,NA
"Lypd9","Lypd9","403200",NA,NA
"5330416C01Rik","5330416C01Rik","403201",NA,NA
"A430093F15Rik","A430093F15Rik","403202",NA,NA
"Agr3","Agr3","403205",155465,"AGR3"
"BC037438","BC037438","403345",NA,NA
"A730062M13Rik","A730062M13Rik","403346",NA,NA
"F830014O18Rik","F830014O18Rik","403347",NA,NA
"D130084N16Rik","D130084N16Rik","403348",NA,NA
"F830003O12Rik","F830003O12Rik","403350",NA,NA
"D430018B14Rik","D430018B14Rik","403351",NA,NA
"Klra24","Klra24","403355",NA,NA
"Clec3a","Clec3a","403395",10143,"CLEC3A"
"Gfral","Gfral","404194",389400,"GFRAL"
"Cyp2c54","Cyp2c54","404195",NA,NA
"Pisrt1","Pisrt1","404212",NA,NA
"Or6k6","Or6k6","404222",128371,"OR6K6"
"Mrgpra5","Mrgpra5","404235",NA,NA
"Mrgpra7","Mrgpra7","404236",NA,NA
"Mrgpra8","Mrgpra8","404237",NA,NA
"Mrgprb3","Mrgprb3","404238",NA,NA
"Mrgprb5","Mrgprb5","404239",NA,NA
"Mrgprb8","Mrgprb8","404240",NA,NA
"Mrgprx1","Mrgprx1","404242",NA,NA
"Mrgpra10","Mrgpra10","404243",NA,NA
"Mrgpra11","Mrgpra11","404244",NA,NA
"Mrgpra12","Mrgpra12","404245",NA,NA
"Mrgpra13","Mrgpra13","404246",NA,NA
"Mrgpra14","Mrgpra14","404247",NA,NA
"Mrgpra15","Mrgpra15","404248",NA,NA
"Mrgpra16","Mrgpra16","404249",NA,NA
"Mrgpra19","Mrgpra19","404250",NA,NA
"Mrgprb7-ps","Mrgprb7-ps","404252",NA,NA
"Mrgprb9-ps","Mrgprb9-ps","404253",NA,NA
"Mrgprc2-ps","Mrgprc2-ps","404254",NA,NA
"Mrgprc7-ps","Mrgprc7-ps","404255",NA,NA
"Mrgprc3-ps","Mrgprc3-ps","404256",NA,NA
"Mrgprc4-ps","Mrgprc4-ps","404257",NA,NA
"Mrgpra18-ps","Mrgpra18-ps","404262",NA,NA
"Mrgprb12-ps","Mrgprb12-ps","404264",NA,NA
"Vmn1r59","Vmn1r59","404284",NA,NA
"Vmn1r64","Vmn1r64","404285",NA,NA
"Vmn1r179","Vmn1r179","404286",NA,NA
"V1rd19","V1rd19","404287",NA,NA
"V1rd18","V1rd18","404288",NA,NA
"Vmn1r181","Vmn1r181","404289",NA,NA
"Vmn1r93","Vmn1r93","404290",NA,NA
"Vmn1r174","Vmn1r174","404291",NA,NA
"Olfr100","Olfr100","404307",NA,NA
"Or10al2","Or10al2","404308",NA,NA
"Olfr192","Olfr192","404309",NA,NA
"Or5ac17","Or5ac17","404310",NA,NA
"Olfr209","Olfr209","404311",NA,NA
"Or8c10","Or8c10","404312",NA,NA
"Or8c11","Or8c11","404313",NA,NA
"Olfr257","Olfr257","404314",NA,NA
"Or2z8","Or2z8","404315",NA,NA
"Or1a1","Or1a1","404316",NA,NA
"Or52j3","Or52j3","404317",119679,"OR52J3"
"Or56a3b","Or56a3b","404318",NA,NA
"Or6s1","Or6s1","404319",341799,"OR6S1"
"Or6c206","Or6c206","404321",NA,NA
"Or8d2","Or8d2","404322",NA,NA
"Or5al6","Or5al6","404323",NA,NA
"Or8k20","Or8k20","404324",NA,NA
"Or8j3b","Or8j3b","404325",NA,NA
"Or8k36-ps1","Or8k36-ps1","404326",NA,NA
"Or10ag52","Or10ag52","404327",NA,NA
"Or10ag56","Or10ag56","404328",NA,NA
"Or5d43","Or5d43","404329",NA,NA
"Or4p23","Or4p23","404330",NA,NA
"Or4a79","Or4a79","404331",NA,NA
"Or2b7","Or2b7","404335",NA,NA
"Or2y10","Or2y10","404336",NA,NA
"Or2y13","Or2y13","404337",NA,NA
"Or5b121","Or5b121","404339",NA,NA
"Or5ab1-ps1","Or5ab1-ps1","404343",NA,NA
"Or5ad1-ps1","Or5ad1-ps1","404344",NA,NA
"Or5h20-ps1","Or5h20-ps1","404345",NA,NA
"Or2w3","Or2w3","404346",NA,NA
"Olfr238","Olfr238","404355",NA,NA
"Or5bs2-ps1","Or5bs2-ps1","404356",NA,NA
"Or5t19-ps1","Or5t19-ps1","404357",NA,NA
"Olfr246-ps1","Olfr246-ps1","404360",NA,NA
"Olfr1304-ps1","Olfr1304-ps1","404362",NA,NA
"Olfr254-ps1","Olfr254-ps1","404363",NA,NA
"Olfr256","Olfr256","404364",NA,NA
"Or52ae6-ps1","Or52ae6-ps1","404365",NA,NA
"Or51v16-ps1","Or51v16-ps1","404366",NA,NA
"Or13c10-ps1","Or13c10-ps1","404368",NA,NA
"Olfr278-ps1","Olfr278-ps1","404371",NA,NA
"Olfr280-ps1","Olfr280-ps1","404373",NA,NA
"Or2q2-ps1","Or2q2-ps1","404374",NA,NA
"Or14c42-ps1","Or14c42-ps1","404375",NA,NA
"Olfr302","Olfr302","404376",NA,NA
"Or14o1-ps1","Or14o1-ps1","404377",NA,NA
"Or1ao1-ps1","Or1ao1-ps1","404379",NA,NA
"Olfr363-ps","Olfr363-ps","404380",NA,NA
"Or2n2-ps1","Or2n2-ps1","404381",NA,NA
"Or6k3","Or6k3","404384",NA,NA
"Or6h1-ps1","Or6h1-ps1","404386",NA,NA
"Olfr468-ps1","Olfr468-ps1","404393",NA,NA
"Or4p4b-ps1","Or4p4b-ps1","404395",NA,NA
"Or5ag1-ps1","Or5ag1-ps1","404396",NA,NA
"Olfr511-ps1","Olfr511-ps1","404397",NA,NA
"Olfr515-ps1","Olfr515-ps1","404398",NA,NA
"Or4s2","Or4s2","404399",NA,NA
"Or13o1-ps1","Or13o1-ps1","404400",NA,NA
"Or13w1-ps1","Or13w1-ps1","404401",NA,NA
"Or13x1-ps1","Or13x1-ps1","404402",NA,NA
"Or52b4j-ps1","Or52b4j-ps1","404405",NA,NA
"Or51a44-ps1","Or51a44-ps1","404406",NA,NA
"Or51l1-ps1","Or51l1-ps1","404407",NA,NA
"Or52n21-ps1","Or52n21-ps1","404413",NA,NA
"Or2ag14-ps1","Or2ag14-ps1","404416",NA,NA
"Or6i1-ps1","Or6i1-ps1","404417",NA,NA
"Olfr719-ps","Olfr719-ps","404418",NA,NA
"Or14s1-ps1","Or14s1-ps1","404422",NA,NA
"Or11a6-ps1","Or11a6-ps1","404423",NA,NA
"Or2au1-ps1","Or2au1-ps1","404424",NA,NA
"Olfr778-ps1","Olfr778-ps1","404426",NA,NA
"Or6o1-ps1","Or6o1-ps1","404427",NA,NA
"Or7s1a-ps1","Or7s1a-ps1","404431",NA,NA
"Or7n1-ps1","Or7n1-ps1","404435",NA,NA
"Olfr852-ps1","Olfr852-ps1","404436",NA,NA
"Or7d13-ps1","Or7d13-ps1","404437",NA,NA
"Olfr865-ps1","Olfr865-ps1","404438",NA,NA
"Olfr880-ps1","Olfr880-ps1","404440",NA,NA
"Or8n1-ps1","Or8n1-ps1","404441",NA,NA
"Olfr928-ps1","Olfr928-ps1","404443",NA,NA
"Olfr932-ps1","Olfr932-ps1","404446",NA,NA
"Olfr939-ps1","Olfr939-ps1","404447",NA,NA
"Or8ac1-ps1","Or8ac1-ps1","404449",NA,NA
"Or8ab1-ps1","Or8ab1-ps1","404451",NA,NA
"Or8ab2-ps1","Or8ab2-ps1","404452",NA,NA
"Or5aj1-ps1","Or5aj1-ps1","404455",NA,NA
"Olfr1041-ps1","Olfr1041-ps1","404460",NA,NA
"Or8k1d-ps1","Or8k1d-ps1","404461",NA,NA
"Or8y1-ps1","Or8y1-ps1","404462",NA,NA
"Or8y2-ps1","Or8y2-ps1","404463",NA,NA
"Or8k30-ps1","Or8k30-ps1","404464",NA,NA
"Or8k29-ps1","Or8k29-ps1","404465",NA,NA
"Or8z1-ps1","Or8z1-ps1","404466",NA,NA
"Olfr1071","Olfr1071","404467",NA,NA
"Olfr1072-ps1","Olfr1072-ps1","404468",NA,NA
"Olfr1074-ps1","Olfr1074-ps1","404469",NA,NA
"Or8z2-ps1","Or8z2-ps1","404470",NA,NA
"Or8aa1-ps1","Or8aa1-ps1","404471",NA,NA
"Or8k34-ps1","Or8k34-ps1","404472",NA,NA
"Or8k35","Or8k35","404473",NA,NA
"Or5n1-ps1","Or5n1-ps1","404474",NA,NA
"Or8e1-ps1","Or8e1-ps1","404475",NA,NA
"Or10e1-ps1","Or10e1-ps1","404478",NA,NA
"Olfr1169-ps1","Olfr1169-ps1","404482",NA,NA
"Olfr1172-ps1","Olfr1172-ps1","404483",NA,NA
"Or4ac1-ps1","Or4ac1-ps1","404484",NA,NA
"Olfr1210-ps1","Olfr1210-ps1","404488",NA,NA
"Or4ad2-ps1","Or4ad2-ps1","404489",NA,NA
"Olfr1235-ps1","Olfr1235-ps1","404490",NA,NA
"Olfr1237-ps1","Olfr1237-ps1","404492",NA,NA
"Or4ae1-ps1","Or4ae1-ps1","404493",NA,NA
"Olfr1266-ps1","Olfr1266-ps1","404494",NA,NA
"Or4k43-ps1","Or4k43-ps1","404495",NA,NA
"Or4f14c","Or4f14c","404497",NA,NA
"Or7b1-ps1","Or7b1-ps1","404499",NA,NA
"Or2w1b","Or2w1b","404504",NA,NA
"Or1ad7-ps1","Or1ad7-ps1","404506",NA,NA
"Or14m1-ps1","Or14m1-ps1","404507",NA,NA
"Olfr1399-ps1","Olfr1399-ps1","404508",NA,NA
"Olfr1401-ps1","Olfr1401-ps1","404510",NA,NA
"Olfr1421-ps1","Olfr1421-ps1","404514",NA,NA
"Or5b103-ps1","Or5b103-ps1","404515",NA,NA
"Or5b125-ps1","Or5b125-ps1","404516",NA,NA
"Or5aa2-ps1","Or5aa2-ps1","404517",NA,NA
"Or5aa3-ps1","Or5aa3-ps1","404518",NA,NA
"Or5x1-ps1","Or5x1-ps1","404519",NA,NA
"Olfr1481-ps1","Olfr1481-ps1","404520",NA,NA
"Olfr1482-ps1","Olfr1482-ps1","404521",NA,NA
"Or5aa1-ps1","Or5aa1-ps1","404522",NA,NA
"Olfr1485-ps1","Olfr1485-ps1","404523",NA,NA
"Or5x2-ps1","Or5x2-ps1","404524",NA,NA
"Or9d1-ps1","Or9d1-ps1","404526",NA,NA
"Or9i15-ps1","Or9i15-ps1","404527",NA,NA
"Ano7","Ano7","404545",50636,"ANO7"
"Ifna14","Ifna14","404549",NA,NA
"AL024386","AL024386","404554",NA,NA
"AL118333","AL118333","404555",NA,NA
"AL024322","AL024322","404556",NA,NA
"AL024321","AL024321","404557",NA,NA
"AL118003","AL118003","404558",NA,NA
"AL118225","AL118225","404559",NA,NA
"AL118183","AL118183","404562",NA,NA
"AL118389","AL118389","404564",NA,NA
"AL118125","AL118125","404565",NA,NA
"AL024446","AL024446","404566",NA,NA
"AL118302","AL118302","404567",NA,NA
"AL118186","AL118186","404570",NA,NA
"AL118313","AL118313","404571",NA,NA
"AL117946","AL117946","404572",NA,NA
"AL118014","AL118014","404573",NA,NA
"AL118036","AL118036","404574",NA,NA
"AL118134","AL118134","404575",NA,NA
"AL118485","AL118485","404576",NA,NA
"AL035025","AL035025","404577",NA,NA
"AL118440","AL118440","404578",NA,NA
"AL118337","AL118337","404579",NA,NA
"AL117821","AL117821","404580",NA,NA
"AL117934","AL117934","404584",NA,NA
"AL117938","AL117938","404585",NA,NA
"AL024230","AL024230","404586",NA,NA
"AL117810","AL117810","404587",NA,NA
"AL117801","AL117801","404588",NA,NA
"AL117728","AL117728","404591",NA,NA
"AL117703","AL117703","404592",NA,NA
"AL118430","AL118430","404594",NA,NA
"AL118294","AL118294","404595",NA,NA
"Macroh2a2","Macroh2a2","404634",55506,"MACROH2A2"
"Prkcz2","Prkcz2","404705",NA,NA
"Iqgap3","Iqgap3","404710",128239,"IQGAP3"
"Ighg2c","Ighg2c","404711",NA,NA
"Iglc4","Iglc4","404736",NA,NA
"Iglj1","Iglj1","404737",NA,NA
"Iglj2","Iglj2","404739",NA,NA
"Iglj3","Iglj3","404740",NA,NA
"Iglj3p","Iglj3p","404741",NA,NA
"Iglj4","Iglj4","404742",NA,NA
"Iglv3","Iglv3","404743",NA,NA
"Olfr242","Olfr242","406175",NA,NA
"Or8a1","Or8a1","406176",NA,NA
"Or4b13","Or4b13","406186",NA,NA
"4930524O07Rik","4930524O07Rik","406209",NA,NA
"Bex4","Bex4","406217",56271,"BEX4"
"Panx2","Panx2","406218",56666,"PANX2"
"Krt87","Krt87","406219",NA,NA
"Krt77","Krt77","406220",374454,"KRT77"
